Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Total
M4J,Population and dwelling counts,Population in 2011,,,,,,35146
M4J,Population and dwelling counts,Population in 2006,,,,,,
M4J,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M4J,Population and dwelling counts,Total private dwellings,,,,,,15232
M4J,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,14719
M4J,Population and dwelling counts,Population density per square kilometre,,,,,,
M4J,Population and dwelling counts,Land area (square km),,,,,,
M4K,Population and dwelling counts,Population in 2011,,,,,,31624
M4K,Population and dwelling counts,Population in 2006,,,,,,
M4K,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M4K,Population and dwelling counts,Total private dwellings,,,,,,15058
M4K,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,14577
M4K,Population and dwelling counts,Population density per square kilometre,,,,,,
M4K,Population and dwelling counts,Land area (square km),,,,,,
M4L,Population and dwelling counts,Population in 2011,,,,,,31544
M4L,Population and dwelling counts,Population in 2006,,,,,,
M4L,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M4L,Population and dwelling counts,Total private dwellings,,,,,,14420
M4L,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,13716
M4L,Population and dwelling counts,Population density per square kilometre,,,,,,
M4L,Population and dwelling counts,Land area (square km),,,,,,
M4M,Population and dwelling counts,Population in 2011,,,,,,23135
M4M,Population and dwelling counts,Population in 2006,,,,,,
M4M,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M4M,Population and dwelling counts,Total private dwellings,,,,,,9969
M4M,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,9459
M4M,Population and dwelling counts,Population density per square kilometre,,,,,,
M4M,Population and dwelling counts,Land area (square km),,,,,,
M4N,Population and dwelling counts,Population in 2011,,,,,,15194
M4N,Population and dwelling counts,Population in 2006,,,,,,
M4N,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M4N,Population and dwelling counts,Total private dwellings,,,,,,6377
M4N,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,6037
M4N,Population and dwelling counts,Population density per square kilometre,,,,,,
M4N,Population and dwelling counts,Land area (square km),,,,,,
M4P,Population and dwelling counts,Population in 2011,,,,,,19185
M4P,Population and dwelling counts,Population in 2006,,,,,,
M4P,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M4P,Population and dwelling counts,Total private dwellings,,,,,,12028
M4P,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,11435
M4P,Population and dwelling counts,Population density per square kilometre,,,,,,
M4P,Population and dwelling counts,Land area (square km),,,,,,
M4R,Population and dwelling counts,Population in 2011,,,,,,11048
M4R,Population and dwelling counts,Population in 2006,,,,,,
M4R,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M4R,Population and dwelling counts,Total private dwellings,,,,,,5230
M4R,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,4958
M4R,Population and dwelling counts,Population density per square kilometre,,,,,,
M4R,Population and dwelling counts,Land area (square km),,,,,,
M4S,Population and dwelling counts,Population in 2011,,,,,,25627
M4S,Population and dwelling counts,Population in 2006,,,,,,
M4S,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M4S,Population and dwelling counts,Total private dwellings,,,,,,14039
M4S,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,13591
M4S,Population and dwelling counts,Population density per square kilometre,,,,,,
M4S,Population and dwelling counts,Land area (square km),,,,,,
M4T,Population and dwelling counts,Population in 2011,,,,,,10094
M4T,Population and dwelling counts,Population in 2006,,,,,,
M4T,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M4T,Population and dwelling counts,Total private dwellings,,,,,,5293
M4T,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,5074
M4T,Population and dwelling counts,Population density per square kilometre,,,,,,
M4T,Population and dwelling counts,Land area (square km),,,,,,
M4V,Population and dwelling counts,Population in 2011,,,,,,17271
M4V,Population and dwelling counts,Population in 2006,,,,,,
M4V,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M4V,Population and dwelling counts,Total private dwellings,,,,,,10096
M4V,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,9430
M4V,Population and dwelling counts,Population density per square kilometre,,,,,,
M4V,Population and dwelling counts,Land area (square km),,,,,,
M4W,Population and dwelling counts,Population in 2011,,,,,,14022
M4W,Population and dwelling counts,Population in 2006,,,,,,
M4W,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M4W,Population and dwelling counts,Total private dwellings,,,,,,7645
M4W,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,7109
M4W,Population and dwelling counts,Population density per square kilometre,,,,,,
M4W,Population and dwelling counts,Land area (square km),,,,,,
M4X,Population and dwelling counts,Population in 2011,,,,,,20387
M4X,Population and dwelling counts,Population in 2006,,,,,,
M4X,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M4X,Population and dwelling counts,Total private dwellings,,,,,,10689
M4X,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,10111
M4X,Population and dwelling counts,Population density per square kilometre,,,,,,
M4X,Population and dwelling counts,Land area (square km),,,,,,
M4Y,Population and dwelling counts,Population in 2011,,,,,,26207
M4Y,Population and dwelling counts,Population in 2006,,,,,,
M4Y,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M4Y,Population and dwelling counts,Total private dwellings,,,,,,18779
M4Y,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,17237
M4Y,Population and dwelling counts,Population density per square kilometre,,,,,,
M4Y,Population and dwelling counts,Land area (square km),,,,,,
M5A,Population and dwelling counts,Population in 2011,,,,,,34649
M5A,Population and dwelling counts,Population in 2006,,,,,,
M5A,Population and dwelling counts,2006 to 2011 population change (%),,,,,,
M5A,Population and dwelling counts,Total private dwellings,,,,,,19382
M5A,Population and dwelling counts,Private dwellings occupied by usual residents,,,,,,18172
M5A,Population and dwelling counts,Population density per square kilometre,,,,,,
M5A,Population and dwelling counts,Land area (square km),,,,,,
