_id,Year,BranchCode,Registrations
841,2019,TH,1948
842,2019,TOD,244
843,2019,TRL,14461
844,2019,VV,544
845,2019,WE,1518
846,2019,WP,784
847,2019,WS,2341
848,2019,WY,17
849,2019,YO,1349
850,2019,YW,2773
851,2020,AB,2072
852,2020,ACD,25
853,2020,AD,164
854,2020,AG,1064
855,2020,AH,194
856,2020,AN,450
857,2020,AP,408
858,2020,BB,385
859,2020,BC,494
860,2020,BD,341
861,2020,BE,813
862,2020,BF,862
863,2020,BKONE,48
864,2020,BKTWO,2
865,2020,BL,1344
866,2020,BR,917
867,2020,BRW,673
868,2020,BUR,203
869,2020,CC,504
870,2020,CE,758
871,2020,CED,1594
872,2020,CH,1268
873,2020,CL,3481
874,2020,CS,544
875,2020,DA,560
876,2020,DM,805
877,2020,DO,691
878,2020,DP,782
879,2020,DR,501
880,2020,DS,34
881,2020,DT,122
882,2020,DU,496
883,2020,EA,1151
884,2020,EB,143
885,2020,EG,164
886,2020,EN,700
887,2020,ES,603
888,2020,FH,442
889,2020,FO,1874
890,2020,FP,287
891,2020,FV,2168
892,2020,GE,242
893,2020,GHP,299
894,2020,GW,227
895,2020,HB,172
896,2020,HC,388
897,2020,HIL,330
898,2020,HLS,54
899,2020,HP,625
900,2020,HS,192
901,2020,HW,116
902,2020,JD,572
903,2020,JO,339
904,2020,JS,617
905,2020,KE,507
906,2020,LB,354
907,2020,LE,625
908,2020,LO,891
909,2020,LS,1285
910,2020,MA,462
911,2020,MAL,1042
912,2020,MAS,670
913,2020,MCG,538
914,2020,MD,358
915,2020,MI,483
916,2020,MP,147
917,2020,MRV,331
918,2020,MS,633
919,2020,ND,1539
920,2020,NE,210
921,2020,NT,254
922,2020,OS,1
923,2020,OV,341
924,2020,PA,824
925,2020,PE,113
926,2020,PK,1201
927,2020,PL,965
928,2020,PM,604
929,2020,PU,195
930,2020,PV,248
931,2020,QS,168
932,2020,RD,517
933,2020,RI,1230
934,2020,RN,886
935,2020,RX,108
936,2020,SA,628
937,2020,SB,27
938,2020,SC,995
939,2020,SI,186
940,2020,SJ,378
941,2020,SL,980
942,2020,SP,187
943,2020,ST,315
944,2020,SW,16
945,2020,SWS,561
946,2020,TA,212
947,2020,TH,525
948,2020,TOD,45
949,2020,TRL,4261
950,2020,VIR,6511
951,2020,VV,207
952,2020,WE,445
953,2020,WP,252
954,2020,WS,503
955,2020,WY,4
956,2020,YO,278
957,2020,YW,396
958,2021,AB,1953
959,2021,ACD,154
960,2021,AD,363
961,2021,AG,1194
962,2021,AH,233
963,2021,AL,1
964,2021,AN,462
965,2021,AP,328
966,2021,BB,393
967,2021,BC,284
968,2021,BD,450
969,2021,BE,873
970,2021,BF,939
971,2021,BKONE,61
972,2021,BKTWO,4
973,2021,BL,1356
974,2021,BR,1031
975,2021,BRW,1199
976,2021,BUR,217
977,2021,CC,494
978,2021,CE,819
979,2021,CED,1518
980,2021,CH,28
981,2021,CL,3894
982,2021,CS,625
983,2021,DA,589
984,2021,DM,940
985,2021,DO,801
986,2021,DP,1186
987,2021,DR,550
988,2021,DS,29
989,2021,DT,51
990,2021,DU,501
991,2021,EA,1166
992,2021,EB,209
993,2021,EG,249
994,2021,EN,1224
995,2021,ES,896
996,2021,FH,500
997,2021,FO,2709
998,2021,FP,536
999,2021,FV,2589
1000,2021,GE,311
1001,2021,GHP,404
1002,2021,GW,239
1003,2021,HB,210
1004,2021,HC,496
1005,2021,HIL,499
1006,2021,HLS,37
1007,2021,HP,629
1008,2021,HS,204
1009,2021,HW,254
1010,2021,JD,540
1011,2021,JO,372
1012,2021,JS,564
1013,2021,KE,726
1014,2021,LB,387
1015,2021,LE,851
1016,2021,LO,842
1017,2021,LS,1927
1018,2021,MA,521
1019,2021,MAL,1097
1020,2021,MAS,727
1021,2021,MCG,608
1022,2021,MD,323
1023,2021,MI,527
1024,2021,MP,4
1025,2021,MRV,449
1026,2021,MS,663
1027,2021,ND,1765
1028,2021,NE,175
1029,2021,NT,260
1030,2021,OV,431
1031,2021,PA,746
1032,2021,PE,136
1033,2021,PK,1225
1034,2021,PL,1001
1035,2021,PM,556
1036,2021,PU,245
1037,2021,PV,245
1038,2021,QS,190
1039,2021,RD,584
1040,2021,RI,1232
1041,2021,RN,995
1042,2021,RX,173
1043,2021,SA,663
1044,2021,SB,24
1045,2021,SC,1214
1046,2021,SI,254
1047,2021,SJ,350
1048,2021,SL,1068
1049,2021,SP,267
1050,2021,ST,418
1051,2021,SW,1
1052,2021,SWS,648
1053,2021,TA,245
1054,2021,TH,580
1055,2021,TOD,50
1056,2021,TRL,3815
1057,2021,VIR,44259
1058,2021,VV,226
1059,2021,WE,488
1060,2021,WP,190
1061,2021,WS,754
1062,2021,WY,18
1063,2021,YO,464
1064,2021,YW,415
1065,2022,AB,5093
1066,2022,ACD,1577
1067,2022,AD,711
1068,2022,AG,2959
1069,2022,AH,398
1070,2022,AN,905
1071,2022,AP,1019
1072,2022,BB,933
1073,2022,BC,994
1074,2022,BD,942
1075,2022,BE,1587
1076,2022,BF,2125
1077,2022,BKONE,114
1078,2022,BL,2694
1079,2022,BR,2116
1080,2022,BRW,2632
1081,2022,BUR,835
1082,2022,CC,1154
1083,2022,CE,1848
1084,2022,CED,3543
1085,2022,CH,1938
1086,2022,CL,9855
1087,2022,CS,1044
1088,2022,DA,1296
1089,2022,DM,1982
1090,2022,DO,1978
1091,2022,DP,1792
1092,2022,DR,1149
1093,2022,DS,1
1094,2022,DT,367
1095,2022,DU,1010
1096,2022,EA,2771
1097,2022,EB,514
1098,2022,EG,584
1099,2022,EN,2031
1100,2022,ES,1928
1101,2022,FH,889
1102,2022,FO,4509
1103,2022,FP,1221
1104,2022,FV,5675
