Geo Code,Topic,Category,Sub Category,Characteristic_level_1,Characteristic_level_2,Characteristic_level_3,Characteristic_level_4,Counts
M1K,Family characteristics,Total number of census families in private households - 100% data,Total couple families,,,,,9470
M1K,Family characteristics,Total number of census families in private households - 100% data,Total couple families,Married couples,,,,8460
M1K,Family characteristics,Total number of census families in private households - 100% data,Total couple families,Common-law couples,,,,1015
M1K,Family characteristics,Total number of census families in private households - 100% data,Total lone-parent families by sex of parent,,,,,3715
M1K,Family characteristics,Total number of census families in private households - 100% data,Total lone-parent families by sex of parent,Female parent,,,,3190
M1K,Family characteristics,Total number of census families in private households - 100% data,Total lone-parent families by sex of parent,Male parent,,,,525
M1K,Family characteristics,Total - Couple census families in private households - 100% data,,,,,,9470
M1K,Family characteristics,Total - Couple census families in private households - 100% data,Couples without children,,,,,3365
M1K,Family characteristics,Total - Couple census families in private households - 100% data,Couples with children,,,,,6105
M1K,Family characteristics,Total - Couple census families in private households - 100% data,Couples with children,1 child,,,,2370
M1K,Family characteristics,Total - Couple census families in private households - 100% data,Couples with children,2 children,,,,2565
M1K,Family characteristics,Total - Couple census families in private households - 100% data,Couples with children,3 or more children,,,,1170
M1K,Family characteristics,Total - Lone-parent census families in private households - 100% data,,,,,,3720
M1K,Family characteristics,Total - Lone-parent census families in private households - 100% data,1 child,,,,,2350
M1K,Family characteristics,Total - Lone-parent census families in private households - 100% data,2 children,,,,,955
M1K,Family characteristics,Total - Lone-parent census families in private households - 100% data,3 or more children,,,,,405
M1K,Family characteristics,Total - Persons not in census families in private households - 100% data,,,,,,8650
M1L,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,,,,,,12425
M1L,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Single-detached house,,,,,3370
M1L,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Apartment in a building that has five or more storeys,,,,,4310
M1L,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,,,,,4745
M1L,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Semi-detached house,,,,950
M1L,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Row house,,,,1240
M1L,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Apartment or flat in a duplex,,,,905
M1L,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Apartment in a building that has fewer than five storeys,,,,1590
M1L,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Other attached dwelling,Other single-attached house,,,,50
M1L,Family characteristics,Total - Occupied private dwellings by structural type of dwelling - 100% data,Movable dwelling,,,,,0
M1L,Family characteristics,Total - Private households by household size - 100% data,,,,,,12425
